MARKER_NAMES,Gimbal1 - 1,Gimbal1 - 2,Gimbal1 - 3,Gimbal1 - 4,M2 - 1,M2 - 2,M2 - 3,M2 - 4,M2 - 5,M2 - 6,M2 - 7,M2 - 8,,,,,,,,,,,,,,,,,,,,,,,,,
Frame,Time,Gimbal1 - 1 X,Gimbal1 - 1 Y,Gimbal1 - 1 Z,Gimbal1 - 2 X,Gimbal1 - 2 Y,Gimbal1 - 2 Z,Gimbal1 - 3 X,Gimbal1 - 3 Y,Gimbal1 - 3 Z,Gimbal1 - 4 X,Gimbal1 - 4 Y,Gimbal1 - 4 Z,M2 - 1 X,M2 - 1 Y,M2 - 1 Z,M2 - 2 X,M2 - 2 Y,M2 - 2 Z,M2 - 3 X,M2 - 3 Y,M2 - 3 Z,M2 - 4 X,M2 - 4 Y,M2 - 4 Z,M2 - 5 X,M2 - 5 Y,M2 - 5 Z,M2 - 6 X,M2 - 6 Y,M2 - 6 Z,M2 - 7 X,M2 - 7 Y,M2 - 7 Z,M2 - 8 X,M2 - 8 Y,M2 - 8 Z
25,0.2,262.155,177.949,132.07,254.861,192.844,210.534,256.906,185.564,171.304,223.673,193.455,208.674,242.328,87.438,15.048,241.85,169.72,16.021,204.475,181.659,15.228,176.507,157.169,94.757,264.283,40.488,15.646,136.916,110.093,14.329,273.237,25.109,-28.094,108.561,226.176,11.331
26,0.20833,262.136,177.942,132.019,254.842,192.824,210.528,256.882,185.555,171.301,223.699,193.428,208.735,242.316,87.466,15.028,241.838,169.738,16.03,204.466,181.665,15.216,176.492,157.14,94.693,264.24,40.425,15.732,136.932,110.083,14.329,273.226,25.072,-28.061,108.231,225.978,12.396
27,0.21667,262.147,177.953,132.03,254.846,192.846,210.535,256.898,185.56,171.368,223.677,193.469,208.735,242.336,87.441,15.069,241.842,169.71,16.023,204.478,181.669,15.228,176.486,157.178,94.724,264.248,40.453,15.734,136.925,110.058,14.289,273.241,25.122,-28.127,108.216,225.977,12.41
28,0.225,262.155,177.967,132.046,254.857,192.823,210.528,256.88,185.557,171.3,223.699,193.443,208.669,242.308,87.446,15.048,241.853,169.733,16.022,204.481,181.641,15.237,176.507,157.171,94.716,264.262,40.409,15.767,136.947,110.085,14.317,273.239,25.112,-28.138,108.234,225.976,12.395
29,0.23333,262.159,177.95,132.033,254.842,192.8,210.543,256.887,185.541,171.323,223.692,193.44,208.705,242.34,87.456,15.052,241.863,169.746,16.029,204.479,181.649,15.24,176.49,157.172,94.713,264.233,40.396,15.789,136.916,110.079,14.329,273.237,25.109,-28.094,108.227,225.984,12.391
30,0.24167,262.291,178.325,131.968,254.837,192.818,210.531,256.882,185.582,171.368,223.68,193.483,208.753,242.313,87.446,15.047,241.849,169.711,16.04,204.463,181.643,15.247,176.501,157.162,94.719,264.277,40.46,15.659,136.942,110.083,14.289,273.245,25.153,-28.094,108.258,225.961,12.407
31,0.25,262.143,177.949,132.031,254.828,192.796,210.564,256.88,185.562,171.308,223.678,193.426,208.691,242.325,87.436,15.042,241.864,169.745,16.03,204.474,181.649,15.237,176.492,157.155,94.713,264.243,40.436,15.699,136.918,110.107,14.322,273.242,25.132,-28.116,108.335,225.999,12.499
32,0.25833,262.163,177.936,132.04,254.858,192.826,210.53,256.899,185.565,171.3,223.673,193.437,208.713,242.326,87.454,15.044,241.846,169.728,16.022,204.501,181.635,15.222,176.503,157.15,94.716,264.245,40.437,15.655,136.948,110.071,14.295,273.237,25.109,-28.094,107.417,225.064,11.022
33,0.26667,262.172,177.952,132.035,254.839,192.802,210.523,256.864,185.569,171.39,223.692,193.455,208.744,242.315,87.451,15.043,241.846,169.733,16.044,204.462,181.641,15.213,176.471,157.165,94.749,264.246,40.444,15.724,136.907,110.085,14.318,273.239,25.111,-28.138,108.584,226.205,11.251
34,0.275,262.158,177.946,132.048,254.841,192.808,210.546,256.89,185.58,171.386,223.676,193.419,208.644,242.303,87.425,15.069,241.845,169.725,16.029,204.467,181.64,15.23,176.496,157.175,94.71,264.264,40.418,15.733,136.925,110.077,14.302,273.268,25.125,-28.161,108.227,225.959,12.403
35,0.28333,262.15,177.941,132.028,255.127,192.927,210.877,256.874,185.528,171.285,223.692,193.466,208.749,242.306,87.449,15.032,241.839,169.717,16.001,204.476,181.616,15.229,176.495,157.183,94.72,264.242,40.426,15.688,136.937,110.075,14.295,273.239,25.111,-28.138,108.245,225.954,12.384
36,0.29167,262.155,177.938,132.019,254.849,192.82,210.523,256.881,185.537,171.288,223.691,193.412,208.694,242.321,87.452,15.025,241.861,169.753,16.011,204.481,181.63,15.208,176.496,157.175,94.71,264.273,40.443,15.624,136.917,110.063,14.307,273.199,25.061,-28.082,108.233,225.965,12.407
37,0.3,262.151,177.95,132.034,254.84,192.808,210.525,256.897,185.554,171.328,223.689,193.44,208.68,242.307,87.467,15.023,241.839,169.732,16.026,204.486,181.662,15.242,176.501,157.174,94.726,264.256,40.476,15.624,136.917,110.087,14.32,273.235,25.099,-28.105,108.226,225.961,12.4
38,0.30833,262.162,177.974,132.039,254.844,192.824,210.498,256.877,185.52,171.317,223.704,193.455,208.689,242.305,87.455,15.045,241.841,169.746,16.039,204.468,181.66,15.241,176.505,157.165,94.716,264.266,40.428,15.744,136.927,110.074,14.3,273.261,25.1,-28.161,108.22,225.977,12.406
39,0.31667,262.271,178.309,131.955,254.833,192.831,210.559,256.873,185.557,171.29,223.685,193.419,208.677,242.325,87.453,15.029,241.841,169.752,16.055,204.463,181.654,15.229,176.504,157.162,94.727,264.266,40.429,15.744,136.936,110.085,14.305,273.254,25.075,-28.095,108.222,225.964,12.404
40,0.325,262.15,177.966,132.023,254.849,192.846,210.523,256.876,185.59,171.393,223.662,193.447,208.695,242.309,87.473,15.042,241.849,169.75,16.032,204.466,181.669,15.243,176.475,157.163,94.768,264.242,40.427,15.689,136.927,110.056,14.312,273.228,25.074,-28.105,108.462,226.143,12.864
41,0.33333,262.159,177.956,132.027,254.836,192.829,210.531,256.863,185.625,171.415,223.705,193.518,208.626,242.314,87.454,15.044,241.842,169.739,16.024,204.477,181.68,15.228,176.479,157.16,94.719,264.247,40.451,15.733,136.919,110.074,14.286,273.24,25.13,-28.072,109.141,226.727,13.511
42,0.34167,262.16,177.935,132.03,254.838,192.844,210.552,256.89,185.591,171.372,223.696,193.491,208.684,242.305,87.459,15.021,241.836,169.769,16.042,204.461,181.66,15.233,176.498,157.154,94.708,264.268,40.436,15.708,136.937,110.067,14.303,273.255,25.086,-28.084,107.638,225.359,11.389
43,0.35,262.166,177.955,132.02,254.838,192.83,210.529,256.855,185.541,171.296,223.694,193.45,208.683,242.3,87.461,15.023,241.827,169.762,16.025,204.49,181.65,15.219,176.492,157.153,94.68,264.247,40.45,15.732,136.922,110.063,14.333,273.228,25.074,-28.105,108.164,226.053,11.621
44,0.35833,262.297,178.285,131.968,254.829,192.826,210.523,256.873,185.562,171.359,223.677,193.43,208.653,242.312,87.458,15.019,241.822,169.737,16.016,204.481,181.649,15.19,176.484,157.157,94.694,264.241,40.424,15.686,136.92,110.059,14.314,273.225,25.061,-28.072,107.88,225.301,13.286
